chapterwiseiir-chapter,pubkeys,pubkeysf
chapterwiseiir-1,"iirbookpubs-cleverdon91cranfield,iirbookpubs-liddy05automatic,iirbookpubs-bush45memex,iirbookpubs-mooers50coding,iirbookpubs-taube58information,iirbookpubs-mooers61mathematical,iirbookpubs-lee88experimental,iirbookpubs-witten99gigabytes,iirbookpubs-zobel06inverted,iirbookpubs-friedl06regular,iirbookpubs-hopcroft00automata","iirbookpubs-cleverdon91cranfield,iirbookpubs-zobel06inverted"
chapterwiseiir-2,"iirbookpubs-lunde98cjkv,iirbookpubs-luk02comparison,iirbookpubs-kishida05clir,iirbookpubs-tseng05segmentation,iirbookpubs-sproat03bakeoff,iirbookpubs-sproat96segmentation,iirbookpubs-gao05chinese,iirbookpubs-lita03truecasing,iirbookpubs-sproat92morphology,iirbookpubs-beesley03finite,iirbookpubs-konheim81cryptography,iirbookpubs-beesley88identifier,iirbookpubs-dunning94identification,iirbookpubs-cavnar94ngram,iirbookpubs-hughes06identification,iirbookpubs-salton89automatic,iirbookpubs-krovetz95disambiguation,iirbookpubs-hull96stemming,iirbookpubs-harman91suffixing,iirbookpubs-hollink04monolingual,iirbookpubs-tomlinson03lexical,iirbookpubs-barilan05how,iirbookpubs-moffat96selfindexing,iirbookpubs-boldi05skiplists,iirbookpubs-pugh90skip,iirbookpubs-moffat96selfindexing,iirbookpubs-bahle02phrase,iirbookpubs-strohman07efficient,iirbookpubs-johnson06effective,iirbookpubs-kammenhuber06web,iirbookpubs-silverstein99analysis","iirbookpubs-luk02comparison,iirbookpubs-pugh90skip,iirbookpubs-bahle02phrase,iirbookpubs-strohman07efficient,iirbookpubs-kammenhuber06web,iirbookpubs-silverstein99analysis"
chapterwiseiir-3,"iirbookpubs-knuthvol3,iirbookpubs-permuterm,iirbookpubs-comperm,iirbookpubs-363994,iirbookpubs-editdistance,iirbookpubs-wagner74string,iirbookpubs-359041,iirbookpubs-146380,iirbookpubs-zobel95finding,iirbookpubs-gusfield97algorithms,iirbookpubs-kernighan90spelling,iirbookpubs-brill00improved,iirbookpubs-toutanova02pronunciation,iirbookpubs-cucerzan04spelling,iirbookpubs-321094,iirbookpubs-zobel96phonetic","iirbookpubs-363994,iirbookpubs-wagner74string,iirbookpubs-359041,iirbookpubs-146380,iirbookpubs-321094,iirbookpubs-zobel96phonetic"
chapterwiseiir-4,"iirbookpubs-witten99gigabytes,iirbookpubs-witten99gigabytes,iirbookpubs-moffat95insitu,iirbookpubs-harman90retrieving,iirbookpubs-lesk88grab,iirbookpubs-somogyi90melbourne,iirbookpubs-heinz03efficient,iirbookpubs-heinz03efficient,iirbookpubs-zobel06inverted,iirbookpubs-harman92inverted,iirbookpubs-fox91fastinv,iirbookpubs-dean04mapreduce,iirbookpubs-ribeiro99efficient,iirbookpubs-melnik01building,iirbookpubs-baezayates99,iirbookpubs-grossman04information,iirbookpubs-callan00distributed,iirbookpubs-lester05fast,iirbookpubs-buttcher05indexing,iirbookpubs-buttcher06hybrid,iirbookpubs-lester06efficient,iirbookpubs-heinz02burst,iirbookpubs-buttcher05security,iirbookpubs-lewis04benchmark,iirbookpubs-garciamolina99database","iirbookpubs-zobel06inverted,iirbookpubs-dean04mapreduce,iirbookpubs-ribeiro99efficient,iirbookpubs-melnik01building,iirbookpubs-lester05fast,iirbookpubs-buttcher05indexing,iirbookpubs-buttcher06hybrid,iirbookpubs-buttcher05security"
chapterwiseiir-5,"iirbookpubs-heaps78information,iirbookpubs-baezayates99,iirbookpubs-williams05searchable,iirbookpubs-zipf49human,iirbookpubs-witten90source,iirbookpubs-manning99foundations,iirbookpubs-carmel01static,iirbookpubs-buttcher06document,iirbookpubs-blanco07boosting,iirbookpubs-ntoulas07pruning,iirbookpubs-witten99gigabytes,iirbookpubs-scholer02inverted,iirbookpubs-anh05invertedindex,iirbookpubs-trotman03compressing,iirbookpubs-anh06improved,iirbookpubs-anh05invertedindex,iirbookpubs-zukowski06superscalar,iirbookpubs-zhang07performance,iirbookpubs-elias75universal,iirbookpubs-cover91elements,iirbookpubs-witten99gigabytes,iirbookpubs-moffat92parameterised,iirbookpubs-fraenkel85novel,iirbookpubs-moffat96exploiting,iirbookpubs-blandford02index,iirbookpubs-silvestri04assigning,iirbookpubs-blanco06tsp,iirbookpubs-silvestri07sorting,iirbookpubs-scholer02inverted,iirbookpubs-zobel06inverted,iirbookpubs-zobel06inverted,iirbookpubs-moura00fast,iirbookpubs-brisaboa06lightweight","iirbookpubs-carmel01static,iirbookpubs-buttcher06document,iirbookpubs-blanco07boosting,iirbookpubs-ntoulas07pruning,iirbookpubs-scholer02inverted,iirbookpubs-zhang07performance,iirbookpubs-moffat92parameterised,iirbookpubs-silvestri04assigning,iirbookpubs-zobel06inverted"
chapterwiseiir-6,"iirbookpubs-luhn57,iirbookpubs-luhn58,iirbookpubs-spa72,iirbookpubs-buckleysalton_termweighting,iirbookpubs-robertson76relevance,iirbookpubs-croftharper79,iirbookpubs-papineni01why,iirbookpubs-singhal96pivoted,iirbookpubs-salton71smart,iirbookpubs-zobel06inverted,iirbookpubs-turtle95query,iirbookpubs-singhal96length,iirbookpubs-singhal95length,iirbookpubs-salton88term,iirbookpubs-singhal96length,iirbookpubs-moffatzobel98,iirbookpubs-moffatzobel98","iirbookpubs-singhal96pivoted,iirbookpubs-zobel06inverted,iirbookpubs-moffatzobel98"
chapterwiseiir-7,"iirbookpubs-persin96filtered,iirbookpubs-anh01termination,iirbookpubs-garcia04access,iirbookpubs-anh06pruned,iirbookpubs-singitham04efficiency,iirbookpubs-chierichetti2007,iirbookpubs-persin94filtered,iirbookpubs-brown95,iirbookpubs-long03optimized,iirbookpubs-brinpageanatomy,iirbookpubs-anh06structured,iirbookpubs-carmel01static,iirbookpubs-onetothree,iirbookpubs-viewingterm,iirbookpubs-fuhr89,iirbookpubs-fuhr94b,iirbookpubs-ccg94,iirbookpubs-bartell98optimizing,iirbookpubs-bartell94optimizing,iirbookpubs-cohen98learning","iirbookpubs-anh01termination,iirbookpubs-anh06pruned,iirbookpubs-singitham04efficiency,iirbookpubs-chierichetti2007,iirbookpubs-persin94filtered,iirbookpubs-long03optimized,iirbookpubs-carmel01static,iirbookpubs-viewingterm"
chapterwiseiir-8,"iirbookpubs-swanson88historical,iirbookpubs-cleverdon91cranfield,iirbookpubs-salton71smart,iirbookpubs-salton91panel,iirbookpubs-voorhees05experiment,iirbookpubs-hull93using,iirbookpubs-saracevic88users,iirbookpubs-saracevic88,iirbookpubs-kent55operational,iirbookpubs-rij79,iirbookpubs-buckley00evaluating,iirbookpubs-allan05hard,iirbookpubs-aslam05geometric,iirbookpubs-buckley00evaluating,iirbookpubs-tague-sutcliffe95statistical,iirbookpubs-kekalainen02graded,iirbookpubs-jarvelin02cumulated,iirbookpubs-sakai07reliability,iirbookpubs-schamber90re-examination,iirbookpubs-voorhees00variations,iirbookpubs-voorhees00variations,iirbookpubs-hersh94ohsumed,iirbookpubs-kekalainen05relevance,iirbookpubs-harter98relevance,iirbookpubs-zobel98reliable,iirbookpubs-carletta96kappa,iirbookpubs-siegel88nonparametric,iirbookpubs-dieugenio04kappa,iirbookpubs-lombard02content,iirbookpubs-krippendorff03content,iirbookpubs-kupiec95,iirbookpubs-barzilay97chains,iirbookpubs-jing00reduction,iirbookpubs-tombros98advantages,iirbookpubs-turpin07fast,iirbookpubs-joachims02clickthrough,iirbookpubs-joachims05clickthrough,iirbookpubs-hersh00further,iirbookpubs-turpin02user,iirbookpubs-hersh00batch,iirbookpubs-hersh01challenging,iirbookpubs-turpin01why,iirbookpubs-baezayates99,iirbookpubs-korfhage97,iirbookpubs-spink05cognitive","iirbookpubs-cleverdon91cranfield,iirbookpubs-buckley00evaluating,iirbookpubs-aslam05geometric,iirbookpubs-voorhees00variations,iirbookpubs-hersh94ohsumed,iirbookpubs-zobel98reliable,iirbookpubs-kupiec95,iirbookpubs-tombros98advantages,iirbookpubs-turpin07fast,iirbookpubs-joachims02clickthrough,iirbookpubs-joachims05clickthrough,iirbookpubs-turpin01why"
chapterwiseiir-9,"iirbookpubs-swanson88historical,iirbookpubs-blair85evaluation,iirbookpubs-salton71smart,iirbookpubs-rocchio71,iirbookpubs-ide71,iirbookpubs-shp95,iirbookpubs-singhal97,iirbookpubs-sb90,iirbookpubs-riezler07statistical,iirbookpubs-ruthven03relevance,iirbookpubs-harman92revisited,iirbookpubs-buckley94relevance,iirbookpubs-salton89automatic,iirbookpubs-koenemann96interaction,iirbookpubs-roget,iirbookpubs-fellbaum98wordnet,iirbookpubs-qf93,iirbookpubs-schuetze98,iirbookpubs-xu96query","iirbookpubs-blair85evaluation,iirbookpubs-shp95,iirbookpubs-singhal97,iirbookpubs-harman92revisited,iirbookpubs-buckley94relevance,iirbookpubs-koenemann96interaction,iirbookpubs-qf93,iirbookpubs-xu96query"
chapterwiseiir-10,"iirbookpubs-harold04xml,iirbookpubs-rij79,iirbookpubs-govert03overview,iirbookpubs-fuhr03inex2002,iirbookpubs-fuhr03inex,iirbookpubs-fuhr04advances,iirbookpubs-fuhr05advances,iirbookpubs-fuhr07comparative,iirbookpubs-fuhr07advances,iirbookpubs-kamps06articulating,iirbookpubs-chucarroll06semantic,iirbookpubs-lalmas07evaluating,iirbookpubs-trotman06xmlir,iirbookpubs-chiaramella96model,iirbookpubs-fuhr04xirql,iirbookpubs-rahm01survey,iirbookpubs-mass02juruxml,iirbookpubs-carmel03fragments,iirbookpubs-schlieder02querying,iirbookpubs-grabs02xml,iirbookpubs-carmel03fragments,iirbookpubs-kamps04length,iirbookpubs-ogilvie05parameter,iirbookpubs-list05tijah,iirbookpubs-theobald08efficient,iirbookpubs-theobald05topx,iirbookpubs-mihajlovic05score,iirbookpubs-lu07cisr,iirbookpubs-larson05fusion,iirbookpubs-sigurbjornsson04mixture,iirbookpubs-arvola05generalized,iirbookpubs-vittaut06machine,iirbookpubs-trotman07focused,iirbookpubs-betsi06user,iirbookpubs-kazai06extended,iirbookpubs-lalmas07inex,iirbookpubs-trotman06passage,iirbookpubs-kaszkiel97passage,iirbookpubs-salton93passage,iirbookpubs-hearst93subtopic,iirbookpubs-hearst97texttiling,iirbookpubs-zobel95efficient,iirbookpubs-trotman04narrowed,iirbookpubs-okeefe04simplest,iirbookpubs-tannier05xml,iirbookpubs-zwol06bricks,iirbookpubs-woodley06nlpx,iirbookpubs-ameryahia06xml,iirbookpubs-ameryahia05report,iirbookpubs-grossman04information,iirbookpubs-ameryahia06xquery,iirbookpubs-fuhr97probabilistic,iirbookpubs-navarro97proximal,iirbookpubs-cohen98integration,iirbookpubs-chaudhuri06probabilistic","iirbookpubs-fuhr07advances,iirbookpubs-chucarroll06semantic,iirbookpubs-carmel03fragments,iirbookpubs-kamps04length,iirbookpubs-theobald05topx,iirbookpubs-mihajlovic05score,iirbookpubs-arvola05generalized,iirbookpubs-betsi06user,iirbookpubs-kaszkiel97passage,iirbookpubs-salton93passage,iirbookpubs-hearst93subtopic,iirbookpubs-ameryahia05report,iirbookpubs-cohen98integration"
